ID,Total_Screentime,Average_Total_Screentime
1000940,19.0,19.36
1000941,34.0,19.36
1000942,26.0,19.36
1000944,9.5,19.36
1000945,24.0,19.36
1000946,13.0,19.36
1000947,22.0,19.36
1000948,22.0,19.36
1000949,18.0,19.36
1000950,23.0,19.36
1000951,17.0,19.36
1000952,40.0,19.36
1000953,34.0,19.36
1000954,41.0,19.36
1000955,12.0,19.36
1000956,4.5,19.36
1000957,11.5,19.36
1000958,5.5,19.36
1000959,28.5,19.36
1000960,11.0,19.36
1000961,10.0,19.36
1000962,16.0,19.36
1000963,18.0,19.36
1000964,7.0,19.36
1000965,25.0,19.36
1000966,4.0,19.36
1000968,8.0,19.36
1000969,12.5,19.36
1000970,9.5,19.36
1000971,6.5,19.36
1000972,41.0,19.36
1000973,15.0,19.36
1000974,14.0,19.36
1000975,19.0,19.36
1000976,22.0,19.36
1000977,20.0,19.36
1000978,15.0,19.36
1000979,18.5,19.36
1000980,15.0,19.36
1000981,9.0,19.36
1000982,22.0,19.36
1000983,23.0,19.36
1000984,23.0,19.36
1000985,19.0,19.36
1000987,9.0,19.36
1000988,9.0,19.36
1000989,13.5,19.36
1000990,17.5,19.36
1000991,9.0,19.36
1000992,8.0,19.36
1000993,22.5,19.36
1000994,18.0,19.36
1000995,17.0,19.36
1000996,36.0,19.36
1000997,17.5,19.36
1000999,33.0,19.36
1001000,6.0,19.36
1001001,26.0,19.36
1001002,31.0,19.36
1001003,13.5,19.36
1001005,21.0,19.36
1001006,14.5,19.36
1001007,8.5,19.36
1001008,18.5,19.36
1001009,17.0,19.36
1001010,24.5,19.36
1001011,15.0,19.36
1001012,13.5,19.36
1001013,19.0,19.36
1001014,3.0,19.36
1001015,28.0,19.36
1001016,19.0,19.36
1001017,18.5,19.36
1001018,21.5,19.36
1001019,10.5,19.36
1001020,33.0,19.36
1001021,9.5,19.36
1001022,12.0,19.36
1001023,20.0,19.36
1001024,22.0,19.36
1001025,10.0,19.36
1001026,19.5,19.36
1001027,19.0,19.36
1001028,30.0,19.36
1001029,0.5,19.36
1001030,31.0,19.36
1001031,40.0,19.36
1001032,23.5,19.36
1001033,9.5,19.36
1001034,15.0,19.36
1001035,8.0,19.36
1001036,17.0,19.36
1001037,8.5,19.36
1001038,26.0,19.36
1001039,30.0,19.36
1001040,25.5,19.36
1001041,15.5,19.36
1001042,19.0,19.36
1001043,15.0,19.36
1001044,7.5,19.36
1001045,23.5,19.36
1001046,27.0,19.36
1001047,10.0,19.36
